index,electrode,x_norm,y_norm,type
0,Fp1,0.38,0.88,electrode
1,AF7,0.26,0.82,electrode
2,AF3,0.35,0.83,electrode
3,F1,0.41,0.72,electrode
4,F3,0.32,0.72,electrode
5,F5,0.22,0.75,electrode
6,F7,0.18,0.70,electrode
7,FT7,0.12,0.58,electrode
8,FC5,0.17,0.63,electrode
9,FC3,0.29,0.61,electrode
10,FC1,0.4,0.6,electrode
11,C1,0.41,0.5,electrode
12,C3,0.29,0.5,electrode
13,C5,0.17,0.5,electrode
14,T7,0.08,0.5,electrode
15,TP7,0.12,0.42,electrode
16,CP5,0.17,0.37,electrode
17,CP3,0.29,0.39,electrode
18,CP1,0.4,0.4,electrode
19,P1,0.41,0.28,electrode
20,P3,0.32,0.28,electrode
21,P5,0.22,0.25,electrode
22,P7,0.14,0.28,electrode
23,P9,0.25,0.32,electrode
24,PO7,0.26,0.18,electrode
25,PO3,0.35,0.17,electrode
26,O1,0.38,0.12,electrode
27,Iz,0.5,0.21,electrode
28,Oz,0.5,0.1,electrode
29,POz,0.5,0.16,electrode
30,Pz,0.5,0.29,electrode
31,CPz,0.5,0.41,electrode
32,Fpz,0.5,0.9,electrode
33,Fp2,0.62,0.88,electrode
34,AF8,0.74,0.82,electrode
35,AF4,0.65,0.83,electrode
36,Afz,0.5,0.83,electrode
37,Fz,0.5,0.71,electrode
38,F2,0.59,0.72,electrode
39,F4,0.68,0.72,electrode
40,F6,0.78,0.75,electrode
41,F8,0.82,0.70,electrode
42,FT8,0.88,0.58,electrode
43,FC6,0.83,0.63,electrode
44,FC4,0.71,0.61,electrode
45,FC2,0.6,0.6,electrode
46,FCz,0.5,0.59,electrode
47,Cz,0.5,0.5,electrode
48,C2,0.59,0.5,electrode
49,C4,0.71,0.5,electrode
50,C6,0.83,0.5,electrode
51,T8,0.92,0.5,electrode
52,TP8,0.88,0.42,electrode
53,CP6,0.83,0.37,electrode
54,CP4,0.71,0.39,electrode
55,CP2,0.6,0.4,electrode
56,P2,0.59,0.28,electrode
57,P4,0.68,0.28,electrode
58,P6,0.78,0.25,electrode
59,P8,0.86,0.28,electrode
60,P10,0.75,0.32,electrode
61,PO8,0.74,0.18,electrode
62,PO4,0.65,0.17,electrode
63,O2,0.62,0.12,electrode
64,IO1,0.25,0.0,EXG
65,IO2,0.75,0.0,EXG
66,LO1,0.1,0.1,EXG
67,LO2,0.9,0.1,EXG
68,F9,0.02,0.75,EXG
69,F10,0.98,0.75,EXG
70,TP9,0.0,0.65,EXG
71,TP10,1.0,0.65,EXG
